Employee_ID*,Date*,Shift,Schedule_In,Schedule_Out,Attendance_Code,Check_In,Check_Out
AK18090684,2023-09-30,dayoff,00:00,00:00,,,
AK18090685,2023-09-30,dayoff,00:00,00:00,,,
AK18090686,2023-09-30,dayoff,00:00,00:00,,,
AK18090687,2023-09-30,dayoff,00:00,00:00,,,
AK18090689,2023-09-30,dayoff,00:00,00:00,,,
AK18090690,2023-09-30,dayoff,00:00,00:00,,,
AK18090691,2023-09-30,dayoff,00:00,00:00,,,
AK18090692,2023-09-30,dayoff,00:00,00:00,,,
AK18090693,2023-09-30,dayoff,00:00,00:00,,,
AK18090694,2023-09-30,dayoff,00:00,00:00,,,
AK18090695,2023-09-30,dayoff,00:00,00:00,,,
AK18090698,2023-09-30,dayoff,00:00,00:00,,,
AK18090702,2023-09-30,dayoff,00:00,00:00,,,
AK19110793,2023-09-30,dayoff,00:00,00:00,,,
AK19110794,2023-09-30,dayoff,00:00,00:00,,,
AK20050811,2023-09-30,dayoff,00:00,00:00,,,
AK20110833,2023-09-30,dayoff,00:00,00:00,,,
AK20110834,2023-09-30,dayoff,00:00,00:00,,,
AK20110835,2023-09-30,dayoff,00:00,00:00,,,
AK20110836,2023-09-30,dayoff,00:00,00:00,,,
AK20120855,2023-09-30,dayoff,00:00,00:00,,,
AK22040919,2023-09-30,dayoff,00:00,00:00,,,
AK18090202,2023-09-30,dayoff,00:00,00:00,,,
AK22100940,2023-09-30,dayoff,00:00,00:00,,,
AK23030965,2023-09-30,dayoff,00:00,00:00,,,
